COMMAND,OPERATOR,ALIAS(S),ARGUMENT(S),PARAMETERS,CATEGORY,DEFAULT,DESCRIPTION,MENU,GUI SHORTCUT,COMMENTS,USE,EXPLANATION,EXAMPLE 1,EXAMPLE 2,PRESET
:s,,start,%,% = float or symbol,operation,n/a,start a context cycle,no,no,Arguments do not affect a start message‚ but can be useful in conjunction with the rules list.,See helpfiles → 14_rules.pd,Here‚ 'start' will be allowed but 'start 2' will not. This is defined by a rule (go to properties → other → rules).,start,start 2,:v 0 :d 2 :x = 4 3 2 1 :I 1 :ex ' 1 :s equals 2 || c- '
:s,d,start,%,% = float = time index (ms),operation,n/a,start a context cycle after a delay,no,no,This will start the Context cycle after a given delay‚ as specified by the argument (in milliseconds). It should be compatible with other :s arguments‚ but it must be the first one.,Use this to start a context after a delay.,Look at the delay between sending the message and Context responding,:s d 1000,:s d 1000 p 3,:v 0 :d 2 :x 1 2 3 4
:s,p,start,%,% = float = toggle number,operation,n/a,start a context at a particular toggle point along the pattern axis,no,no,The float corresponds to the position of the toggles along the pattern axis.,Use this to start a context at a point other than the beginning‚ or to chop-up a sample.,Look at the position on the x-axis floats to see where it starts.,:s p 3,:s p 8,:: long :d 4 :x 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 :v 0 :pr 2
:s,p,start,% %,% = float = toggle number,operation,n/a,start a context‚ and schedule its stopping‚ at a particular point,no,no,Floats correspond to positions of the toggles along the pattern axis. If the first float is bigger than the first then the context will play in reverse.,Use this to start a context at a point other than the beginning‚ or to chop-up a sample.,Look at the position on the x-axis floats to see where it starts and stops,:s p 3 6,:s p 15 10,:: long :d 4 :x 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 :v 0 :pr 2
:s,s,start,%,% = float = time index (ms),operation,n/a,start a context at a particular time index along the timeline,no,no,The float corresponds to a particular time index (in milliseconds) along the timeline. If the context cycle time is altered‚ the time index will change correspondingly.,Use this to start a context at a point other than the beginning‚ or to chop-up a sample.,Change the time cyce (top left atom) to understand s operator.,:s s 1000,:s s 2400,:: long :d 4 :x 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 :v 0 :pr 2
:s,s,start,% %,% = float = time index (ms),operation,n/a,start a context‚ and schedule its stopping‚ at a particular time index,no,no,The floats correspond to particular time indexes (in milliseconds) along the timeline. If the context cycle time is altered‚ the time indexes will change correspondingly. If the first float is bigger than the first then the context will play in reverse.,Use this to start a context at a point other than the beginning‚ or to chop-up a sample.,Change the time cyce (top left atom) to understand s operator.,:s s 1000 3000,:s s 3400 1800,:: long :d 4 :x 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 :v 0 :pr 2
:s,m,start,%,% = float = marker number,operation,n/a,start a context at a particular marker,no,no,The float corresponds to the ID number of a [marker] object embedded in the Context timeline.,Use this to start a context at a point other than the beginning‚ or to chop-up a sample.,No example given—see 'embedding.pd' (warning: this patch takes several minutes to load).,,,:v 0
:s ,m,start,% %,% = float = marker number,operation,n/a,start a context‚ and schedule its stopping‚ at a particular marker,no,no,The floats correspond to the ID numbers of [marker] objects embedded in the Context timeline.,Use this to start a context at a point other than the beginning‚ or to chop-up a sample.,No example given—see 'embedding.pd' (warning: this patch takes several minutes to load).,,,:v 0
:t,,,%,% = float = state (0‚ 1),general,0,determine how context responds when its cycle is interrupted,other → more → miscellaneous  → interruption,no,When this is on‚ context will restart if it is interrputed in the middle of its cycle. When off‚ context will not allow interruption until it has reached the end of its cycle.,Use this to freeze a particular context once it has been started.,Start the context rapidly several times. Then turn click :t 0 and do it again. Notice the difference in behaviour.,start,:t 0,:d 2 :v 0 :pr 2
:u,,bank,%,% = float = bank term,bank,1,retrieve a context state from the storage bank,no,double press and hold shift and click on y-axis toggles,Each Context has a storage bank which is capable of storing multiple Context states. This command jumpts to a new term from the bank‚ which loads a new pre-set (unless the term is blank). Any further changes to the context will be saved in that slot (see bank saving).,The GUI selector allocates as many terms in the bank as there are toggles on the y-axis‚ but you can create more by using this command and editing the bank list (:A open). Use the [bank] object to define a different list of settings for the bank to store (default :x and :i).,Here the states saved in the bank are toggles and cycle time‚ but they could be anything.,:u 1,:u 2,:d 1 :x = 1 :y = 1 :ba ' :x = 1 :y = 1 :d 1 || :x = 1 2 3 :y = 1 2 3 :d 2 ' :v 0 :pr 2
:u,,bank,,,bank,n/a,cycle through terms of storage bank,no,no,Sending a :u command without any arguments jumps to the next bank term. Note that this includes bank terms that are empty. If you want to skip empty terms‚ you can delete them by editing the bank list (:A -open) and deleting empty lines (ie. semi-colons).,This is useful for creating a Cotnext which changes state each time it finishes a cycle.,Here the y-axis toggle sends a message ':u' every time it is hit‚ signalling the bank term to advance. The result is that the x-axis toggles change after every cycle. Pressing ':u manually advances the state‚ while ':u 0' resets it.,:u,:u 0,:d 2 :x 1 5 :ba ' :x = 1 5 || :x = 1 2 5 || :x = 2 3 5 ' :i 5 1.5 start :y = 1 :b ' . :u ' :v 0 :pr 2 :A 0
:v,,saving,%,% = float = state (0‚ 1),saving,1,determine whether new settings will be saved,other → state → auto save,no,Warning: This might crash in conjunction with content auto-saving.,Turn this off if you dont want new context states to be saved to the file‚ ie. if the context gets dynamically changed during playback but you want its original state to remain the same.,No example is given because the effect isnt very visible. However‚ it should be pointed out that all the context used in this example has :v 0‚ to prevent any changes being saved.,,,:v 0 :pr 2
:w,,,%,% = float = state (0‚ 1),burst,0,determines whether random burst quantities can wrap,burst → quantity → wrap,no,,When there is a small amount of random deviation to the number of burst toggles (ie. :l 10)‚ the number will follow a 'drunken walk' pattern. This setting determines whether it hits a 'wall' at the end or whether it wraps back around‚ ie. If the number of toggles can randomly go from 1 to the highest number in one step or not.,,:w 1,:w 0,:Y 6 :y 1 2 3 4 5 6 :i 5 1.5 :l 10 :d 1 :s :v 0 :pr 2
:x,,,% %...,% = float = toggle number,toggles,n/a,turn toggle(s) on the x-axis on or off,no,click on toggles,This is equivalent to banging each toggle.,This command turns toggles on if they are off and off if they are on.,,:x 1 2 3,:x 2 3 4,:v 0 :pr 2
:x,+,,% %...,% = float = toggle number,toggles,n/a,turn toggle(s) on the x-axis on,no,no,This is equivalent to sending a 1 to each toggle.,This command turns toggles on if they are off. If a toggle was already off‚ no action is taken.,Note that these commands have no effect if the toggle(s) are already on.,:x + 1 2 3,:x + 2 3 4,:x 1 :v 0 :pr 2
:x,-,,% %...,% = float = toggle number,toggles,n/a,turn toggle(s) on the x-axis off,no,no,This is equivalent to sending a 0 to each toggle.,This command turns toggles off if they are on. If a toggle was already on‚ no action is taken.,Note that these commands have no effect if the toggle(s) are already on.,:x - 1 2 3,:x - 2 3 4,:x 1 3 4 5 :v 0 :pr 2
:x,=,:x def,% %...,% = float = toggle number,toggles,=,define a set of x-axis toggles,no,no,Sending a blank ':x =' clears the toggle array.,This command defines exactly a set of toggles to turn on. All other toggles are turned off.,,:x = 1 2,:x = 2 3 4 5,:x 2 3 4 :v 0 :pr 2
:x,> or <,,%,% = float = value,toggles,n/a,shift the whole toggle array f places to the left / right,no,no,,Use this to offset a pattern.,Notice how the toggle pattern moves without the floats.,:x > 1,:x < 2,:x 1 2 4 5 :i 1 2 3 4 5 :v 0 :pr 2
:x,>> or <<,,%,% = float = value,toggles,n/a,shift the float array toggether with the toggle array,no,no,This is identical to the ':i >> f' command.,This is more useful than >‚ which moves the toggle array independently of the float array. The difference is hard to describe but visually intuitive.,Notice how the toggle pattern and the floats move together.,:x >> 1,:x << 2,:x 1 2 4 5 :i 1 2 3 4 5 :v 0 :pr 2
:x,-l,,{%} ...,% = float = value‚ followed by any other :i arguments,toggles,n/a,excepts the last toggle(s) from a :x command,no,no,The -l operator is used in conjunction with other :x commands. It protects the last toggle‚ so that it is not changed by the command. The -l command can take an opotional float argument‚ specifying the number of toggles from the back which should be protected. If no argument is specified‚ the default number is 1.,Use this if you want to rotate or clear toggles while leaving the last one intact (ie. if it is being used for a loop).,Watch the last toggle in this example. It is unaffected by the commands because of the -l operator.,:x -l <,:x -l clear,:v 0 :x 1 2 4 5
:x,clear,0,,,toggles,n/a,clear the toggle array,no,no,This rests all toggles.,,,:x 1 2 3 4 5,:x clear,:x 1 2 3 4 5 :v 0 :pr 2
:x,all,,,,toggles,n/a,turn all toggles on,no,no,This turns all toggles in the array on.,Use this to quickly turn the entire array on.,,:x all,:x clear,:v 0
:x,inverse,,,,toggles,n/a,inverse all toggles,no,no,This turns off all toggles that are currently on and on all toggles that are currently off.,Use this to inverse toggles without having to click on all of them.,,:x inverse,:x 2 4,:v 0 :x 1 2 3
:y,,,,,,n/a,define y-axis toggles,,,The :x and :y commands have identical syntax. Everything listed under the :x help boxes applies also to :y.,,,,,:v 0
:z,,safety,%,% = float = duration (ms),timing,10,define a threshold below which Context cannot loop itself,timing → more → safety limit,no,Context networks often form feedback loops‚ and this can lead to stack overflows‚ especially when the accumulated cycle time is 0. :z turns on (by default) two safety features which prevent this. 1: The minimum cycle time of a context is clipped to 10ms‚ not zero. This means that loops of 0 time cannot occur. 2: When a context is started‚ its input is blocked for the same period of time (10ms). This likewise prevents context from entering into infinite loops‚ ie. If the first toggle of the pattern array references itself.,You might want to turn the safety off if you decide you definitely want a context of 0ms. But you do so at your own risk! Be prepared for stack overflows.,Do you really want to see a stack overflow? Then turn safety off (:z 0) and press start. A feedback loop is created because context restarts itself after 0ms.,:z 0,start,:x 1 :i 1 1 :d 1 :pr 2
:A,,,%,% = float = state (0‚ 1),bank,0,determines whether the context state is auto-saved to the bank,other → preset bank → auto save,no,When this is on‚ every change that is tracked by the bank will trigger the bank to save.,If you turn this off‚ the bank will recall a context state but not update it in the bank. This can be useful if the context has been updated and you want to reload its origin point.,This context modifies its pattern at the end of every cycle (the :b database contains the message ':x (?8 + 1)' ). With bank auto-saving turned off (:A 0)‚ calling the bank (:u 1) will recall the original pattern‚ since the pattern is not updating. With auto-saving on (:A 1)‚ calling the bank will have no effect.,:A,:u 1,:X 9 :x 1 3 5 7 9 :i 9 1.5 :d 2 :v 0 :y 1 :s :b ' . :x (?8 + 1) ' :A 0 :ba ' :x = 1 3 5 7 9 ' :pr 2
:A,-save,,,,bank,n/a,save the current context state to the bank,other → preset bank →save now,no,,Use this to save a context state if you have turned auto-saving off (:A 0).,This context modifies its pattern at the end of every cycle. Since bank auto-saving is of (:A 0)‚ you can recall the original patten by pressing :u 1 and set a new 'origin by pressing :A -save.,:A -save,:u 1,:X 9 :x 1 3 5 7 9 :i 9 1.5 :d 2 :v 0 :y 1 :s :b ' . :x (?8 + 1) ' :A 0 :ba ' :x = 1 3 5 7 9 ' :pr 2
:A,-open,-edit,,,bank,n/a,open a text dialogue to manually edit bank,other → preset bank → edit,no,The text edit tool must be saved (ctrl+s).,Use this to manually edit the bank list.,,:A -open,:A -clear,:ba ' :x = 1 3 5 || :x 2 4 ' :v 0 :pr 2
:A,-clear,,,,bank,n/a,clear the bank,other → preset bank → clear,no,This cant be undone!,Use this to clear the bank list.,,:A -open,:A -clear,:ba ' :x = 1 3 5 || :x 2 4 ' :v 0 :pr 2
:B,,,%,% = float = value,time,0.5,set the units for positional timing mode,timing → position options → resolution,no,This setting only effects positional timing (:E 2). It determines the resolution at which the cycle time will change as you drag it across the screen.,Set the interval to whatever (positive) value you want. Ie. 0.5 will allow for half second intervals‚ 2 for 2 second intervals‚ etc.,Enter edit mode (Ctrl+E) and drag this context around the canvas‚ watching what happens to the cycle time (top left atom). Then change the positional resolution (:B) and try again. (Note that the origin point of this canvas is the top left corner.),:B 0.1,:B 2,:E 2 :v 0 :X 9 :Z 15 :pr 2
:C,,,%,% = float = value,time,20,determine how fast the timing alters in positional timing,timing → position options → scale,no,This setting only effects positional timing (:E 2). It determines the how fast the cycle time will change as you drag it across the screen.,Use high numbers for a lot of change and low numbers for less change. Note that the 0 point is ether the origin of the canvas or the context with n-1 ID number (if this one also has :E 2 on).,Enter edit mode (Ctrl+E) and drag this context around the canvas‚ watching what happens to the cycle time (top left atom). Then change the positional resolution (:B) and try again. (Note that the origin point of this canvas is the top left corner.),:C 5,:C 60,:E 2 :v 0 :X 9 :Z 15 :pr 2
:D,,,%,% = float = value (positive),time,1,set the units for random timing mode,timing → random options → resolution,no,This setting only effects random timing (:E 1). It determines the allowed intervals at which random timings are allowed.,Set the interval to whatever (positive) value you want. Ie. 0.5 will allow for half second intervals‚ 2 for 2 second intervals‚ etc. Use long decimals for fractions ie. 0.3333333 for 1/3.,Select the different units and see what it does to the time intervals (top left atom). Note that :q (minimum) is set to 1 here‚ otherwise the series would start at 0.,:D .3333333,:D 2,:E 1 :v 0 :d 4 :x 5 :i 5 1.5 :s :q 1 :pr 2
:E,,random position off,%,% = float (0‚ 1‚ 2) or symbol (see alias),time,0,determine how context cycle times are set,timing → delay mode,no,0 is normal mode: timings are set by the :d value or the atom in the top left corner of the GUI. 1 is random mode: timings are random‚ with :d being the maxumim (see the :D‚ :q and :Q settings). 2 is positional mode: the time is set by the contexts position on the canvas‚ with :d having no effect (see the :B and :C settings).,Use this to switch between different timing modes.,In random mode (:E 1)‚ start (double click) on context to see how the time changes. In positonal mode (:E 2)‚ move the context around the screen to see the time change. (You will have to be in PDs edit mode to do this—press Ctrl+e).,:E 1,:E 2,:d 4 :pr 2
:F,,,%,% = float = value,general,0,set x-axis zoom,no,shift + double click and drag over the right-hand margin,The units are measured in pixles past the default size (which is 12 pixels per togle). It doesnt update very fast‚ so it is best not to send a continuous stream of :F values.,This is useful to improve the readability when toggle floats are on. It is also used when context is embedded.,,:F 20,:F -10,:x 1 2 3 4 5 :i 1 2 3 4 5 :v 0 :pr 2
:G,,,%,% = float = value,general,1,set y-axis zoom,no,shift + double click and drag over the bottom margin,The units are measured in pixles past the default size (which is 12 pixels per togle). It doesnt update very fast‚ so it is best not to send a continuous stream of :G values.,This is useful to improve the readability when toggle floats are on. It is also used when context is embedded.,,:G 20,:G -10,:y 1 2 3 4 :i 1 2 3 4 :v 0 :pr 2
:H,,,%,% = float > 1,saving,0,identify where the overlay instructions start within the saving list,no,no,:H must come at the beginning of the saving list‚ if at all., :H takes care of itself and is best not tampered with.,No example given.,,,:v 0
:I,,,%,% = float = state (0‚ 1),input,0,turn rules on or off,other → rules → on-off,no,The rule list is a user defined list rules determining what context should go given certain in/output. The rule is is stored in the :ex command but turned on or off with :I. If it is turned on (:I 1)‚ all context input is compared against each item on the list. If it matches‚ the condition (also specified in the rule list) will follow. If not‚ it will continue as normal. Note that it is best to keep this function off if you are not using it‚ since it slows things down a bit.,Rules are used to establish logical behavior that cannot be defined by the normal connections of a network. See manual Section 15: Rules and helpfiles → 14_rules.pd,Here‚ the rule list contains the text 'start 2'. Turn rules on (:I) and the message 'start 2' will be rejected ('start 1' would still pass normally). Turning the rule list off (:I) means that all messages will be accepted as normal.,:I,start 2,:v 0 :d 2 :x = 4 3 2 1 :I 1 :ex ' 1 :s equals 2 || c- '
:I,-save,,,,input,n/a,save rule list,other → rules → save,no,This saves the rule list to the Context creation argument so that it will be loaded next time the patch is opened. Note that this is different from Ctrl+S from within the rule list edit window‚ which you need to press in order to load the rules.,,,:I -save,:I -open,:v 0 :d 2 :x = 4 3 2 1 :I 1 :ex ' 1 :s equals 2 || c- '
:I,-open,-edit,,,input,n/a,open a text dialogue to manually edit the rule list,other → rules → edit list,no,Use this to manually edit the rule list (separating entries with semi-colons). Remember to press Ctrl + S afterwards to load the rules.,,,:I -save,:I -open,:v 0 :d 2 :x = 4 3 2 1 :I 1 :ex ' 1 :s equals 2 || c- '
:I,-clear,,,,input,n/a,clear the rule list,other → rules → clear,no,This cant be undone!,,,:I -clear,:I -open,:v 0 :d 2 :x = 4 3 2 1 :I 1 :ex ' 1 :s equals 2 || c- '
:J,,,%,% = float = state (0‚ 1‚ 2) or symbol,general,0,toggle-float send domain,other → more → miscellaneous → float send,no,When :J 0‚ float-connections will only be received by a context open in the same patch. This means that two patches which share the same context ID numbers will not communicate with each other if they are both open at the same time. When :J 1‚ float-connect will communicate with any context open in any patch. When :J 2‚ float-connect will communicate only with Contexts embedded within this one. This is useful if for using Context as a sort of sample database. When :J is set to a symbol‚ float-connect will communicate with a custom patch. The custom patch is defined by the “patch” object. So if ' :J me ' is set‚ then float-connections will only communicate with the patch which has the object [patch me] open in it.,Use this to safeguard against accidental interference between different conttext networks.,With :J 1 on‚ the context toggle-float will start another context number 2 in another patch‚ if such a context exists.,:J,,:v 0 :x 1 5 :i 2.5 0 0 0 1.5 :d 1 :s :pr 2
:K,,* / off ^ map none,%,% = float (0‚ 1‚ 2‚ 3‚ 4) or symbol (see alias),time,0,set coefficient mode,timing → calculation → calculation mode,no,This sets how the coefficient (:k) value affects the cycle time. With :K 1 the :d value (top-left atom) is multiplied into the :k value. With :K 2‚ the atom is divided by the :k value (:k/:d). With :K 3‚ the :K value is taken to the :d-th power (:k^:d). With :K 4‚  custom map may be established (enter a list of numbers for :k) such that :d1 = :k1‚ :d2 = :k2‚ etc. With :K 0 (default) the :k value is ignored.,:K 1 allows you to create you own time units‚ ie. minutes (:k 60) instead of seconds. :K 2 means that the time atom (top left) determines inverse time values‚ ie. 2 for half a second‚ 3 for a third of a second‚ etc. (assuming that :k is set to 1). This is very useful for musical notation!,Here‚ :k is set to 2 and :d to 3. With :K 1‚ the cycle time will be 2 * 3 = 6 seconds. With :K 2 the time will be 2/3 of a second.,:K 1,:K 2,:v 0 :x 5 :i 5 1.5 :d 3 :s :k 2 :pr 2
:L,,all random linear,%,% = float (0‚ 1‚ 2) or symbol (see alias),burst,0,select from three common burst settings,burst → presets,no,This burst has a near infinite arrange of settings‚ but the three extremes which are most useful are ALL‚ RANDOM and LINEAR. ALL means that all open burst toggles will be fired at the end of every cycle. RANDOM means that a single random toggle will fire‚ with even distribution. LINEAR means that the toggles will fire one by one sequentially.,This is just a convenient way of navigating the otherwise dense set of burst controls.,The burst is set to ALL by default. You can choose RANDOM and LINEAR here to see the difference.,:L random,:L linear,:v 0 :y 1 2 3 4 :i 5 1.5 :d .7 :s :L all :pr 2
:M,,,%,% = float = state (0‚ 1),general,0,switch x and y axes,no,shift and double click over the time atom (top left),Note that the toggle‚ toggle-float and database arrangements are all flipped‚ just as you would expect.,Since PD does not allow for outlets on the side of an object‚ the burst toggles can be difficult to access. The solution is to flip the axes‚ so that the burst is along the bottom.,,:M,,:v 0 :a ' x1 | x2 | x3 | x4 ' :b ' y1 | y2 | y3 | y4 ' :x 1 2 3 4 :y 1 2 3 4 :i 5 1.5 :d 2 :s :e 4 :f 4 :pr 2
:N,,hold,%,% = float = value,input,n/a,queue the next context command,no,no,:N allows you to delay the effect of another context command. The float value determines how long you want to delay it. Each time any input is received‚ the command will move one place higher on the list. Without any further arguments‚ :N will hold the next command that the context receives. One context can have any number of queued commands. ,Delaying commands is especially useful for toggles. Cue a toggle to be switched in three bars time and then wait.,Press ':N 3' followed by 'stop' and you will queue the stop message for three cycles. Make sure you press 'stop' before the end of the next cycle‚ otherwise you will queue the next 'start' message‚ not the stop!,:N 3,stop,:v 0 :x 5 :i 5 1.5 :d 2 :s :pr 2
:N,,hold,%1 %2...,%1 = value‚ %2 = context command letter,input,n/a,queue specified context command,no,no,:N allows you to delay the effect of another context command. The float value determines how long you want to delay it. Each time any input is received‚ the command will move one place higher on the list. One context can have any number of queued commands.,Delaying commands is especially useful for toggles. Cue a toggle to be switched in three bars time and then wait.,Everything after the :N x message will be delayed by x commands. A 'command' is any input that context receives‚ including automatic start messages. So the effect is that the message is delayed by x cycles. The :N 2 appears to be delayed by only one cycle‚ but this is because the subsequent message is compound of two commands‚ :d and :s‚ each of which counts as one. Note that setups like this work better with safety off (:z 0)‚ since otherwise the input will be closed for 10ms each cycle‚ preventig some of the desired messages from getting through.,:N 3 :x 3,:N 2 :d * -1,:v 0 :x 1 4 5 :i 5 1.5 :rd 1 :d 2 :s :z 0 :pr 2
:N,,hold,%1 %2 {%3...},%1 = value‚ %2 = symbol‚ %3 = command,input,n/a,queue a context command with conditional return,no,no,Usually‚ held commands are pushed up the queue by any (recognized) context input. The second argument to :N locks the command to one input. So ':N 3 y' means that the following command will only be advanced by the :y command‚ ie. the third :y command that is received will trigger the held command. Note that the second argument does not take a colon ('x' instead of ':x').,Use this to define conditional changes to a context.,Once you press the :N message‚ it queues the :x command‚ which will only respond to the :y command. The result is that the :x toggle will be triggered on the third :y input.,:N 3 y :x 2,:y 1,:v 0 :x 5 :i 5 1.5 :d 2 :s :pr 2
:N,-p,hold,%1 %2 {%3...},%1 = value‚ %2 = symbol‚ %3 = command,input,n/a,suspend a context command,no,no,The -p switch queues a command‚ but also prevents other commands with the same operator being accepted until it has cleared the queue. Note that the start (':s') and stop (':st') commands are suspended by default‚ as this is the most useful behaviour for them.,Use this to force a Context to be off for a certain amount of time‚ even when it is receiving 'start' commands.,In the first example‚ sending ':N 3 s' will mean that Context cancels the next 3 start messages that it receives. Double click on Context to start it‚ and only the fourth one will work. In the second example‚ Context refuses to take any :x input once the message is sent. When it gives way on the fourth round‚ a new ':x 4' message is also sent.,:N -p 3 x :x 4,:N 3 s,:v 0 :d 1
:NN,,,%,% = any,input,n/a,custom advance for conditional queue return,no,no,The :NN command is used with the :N command. It can be used to advance a queued message without triggering the a command in the process.,You can use this command to advance :N messages with arbitrary arguments‚ ie. ':N 2' foo :x 2 and ':NN foo'.,Here‚ the queued message will only be advanced with a :y message. But you can forward it without triggering a y-axis toggle by using ':NN y.',:N 3 y :x 2,:NN y,:v 0 :x 5 :i 5 1.5 :d 2 :s :pr 2
:O,,shuffle,%,% = float = percentage (+ve or -ve),time,0,shuffle for pattern bank,timing → more → shuffle,no,This adds a shuffle to the timing of the pattern‚ affecting even numbered beats. Positive numbers push them forward‚ while negative numbers bring them back. Note that shuffling a Context with an odd number of toggles on the pattern axis will distort the cycle. For this reason‚ its best to stick to even numbered Contexts when using Shuffle.,Use this to enhance a rhythm stored in the pattern bank.,Look at the gaps between the beats when shuffle is on.,:O 60,:O -60,:v 0 :x 1 2 3 4 5 :i 5 1 :d 2 :s :pr 2
:P,,,%,% = float = value,burst,0,define an arithmetic progression for the burst selection,burst → selection → progression,no,This determines an arithmetic progression on the selection of the burst toggle(s) each cycle. Positive and negative numbers are accepted. Note that non-integer numbers have a special effect on the :R setting.,Use this to make a linear progression from one toggle to the next.,Look at which toggles are firing each cycle.,:P 1,:P 2,:Y 6 :y 1 2 3 4 5 6 :i 5 1.5 :o 2 4 :d 1 :s :v 0 :pr 2
:Q,,,%,% = float = state (0‚ 1),time,1,determine whether random timing auto-advances after every cycle,timing → random options → auto advance,no,This setting works in conjunction with random timing (:E 1). When on (default)‚ a new cycle time is randomly selected after each cycle. When off‚ context waits to receive a 'bump d' message to advance the timing.,Use this if you want to hold random timings for more than one cycle.,With :Q off‚ new cycle timings will not be selected‚ until context receives a 'bang d'.,:Q,bump d,:v 0 :x 5 :i 5 1.5 :d 3 :q 1 :E 1 :s :pr 2
:R,,,%,% = float = percentage,burst,0,randomize the burst toggle selection,burst → selection → random,no,This setting works as a percentage. 0 means that the burst toggle selection is definitive and 100 means that it is totally random. Numbers in between describe varying degrees on uncertainty‚ so that the burst quantity will deviate from :o with :R likelihood‚ according to Gaussian distribution. 101 gives even distribution through an 'urn' generator‚ meaning that all available numbers will be used once before the urn is reset‚ like pulling numbers out of a bag. The urn can be reset manually using the 'bump l' command. Note that if :P is set to a non-integer‚ the random mean position will not reset each cycle‚ meaning that the random deviations will center around the same point.,Use this setting to add uncertainty in a context network.,,:R 100,:R 2,:Y 8 :y 1 2 3 4 5 6 7 8 :i 5 1 :d .7 :s :o 1 3 5 :v 0 :pr 2
:R,-open,,,,burst,n/a,edit random distribution array,burst → selection → edit random,no,This command opens the array which defines the probabilities for the :l setting. Normally you will see a Bell curve here (if :l is greater that 0 and less than 100)‚ but you can draw in a curve to define a new range of probabilities. Unfortunately‚ any changes you make here are unsavable.,Use this to define custom probabilities for the burst selection.,Open the array and draw in your own curve. You will see the changes reflected in the selection of burst toggles that fire.,:R -open,:R 20,:Y 8 :y 1 2 3 4 5 6 7 8 :i 5 1.5 :d .7 :h 2 :s :v 0 :pr 2 :R 30
:S,,,%,% = any,database,blank,prepend custom text to the x-axis database,message → x-axis → prepend,no,This prepends any custom text to the beginning of every message sent from the bank database.,This can help to simplify and organize database storage. It is also useful if you want to is the [ or [o message variables to direct the context outlet.,Look at the text that appears in the symbol atom vs. the text that prints in the console to undestand the effect of :S.,:S carrot,:S tomato,:X 9 :d 4 :v 0 :a ' 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 ' :e 8 :x 1 2 3 4 5 6 7 8 9 :i 9 1.5 :s :pr 2
:T,,,%,% = any,database,blank,append custom text to the x-axis database,message → x-axis → append,no,This append any custom text to the end of every message sent from the bank database.,This can help to simplify and organize database storage.,Look at the text that appears in the symbol atom vs. the text that prints in the console to undestand the effect of :T.,:T brocolli,:T cabbage,:X 9 :d 4 :v 0 :a ' 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 ' :e 8 :x 1 2 3 4 5 6 7 8 9 :i 9 1.5 :s :pr 2
:U,,,%,% = any,database,blank,prepend custom text to the y-axis database,message → y-axis → prepend,no,This prepends any custom text to the beginning of every message sent from the bank database.,This can help to simplify and organize database storage. It is also useful if you want to is the [ or [o message variables to direct the context outlet.,Look at the text that appears in the symbol atom vs. the text that prints in the console to undestand the effect of :S.,:U carrot,:U tomato,:d 3 :v 0 :b ' 1 | 2 | 3 | 4 ' :f 4 :y 1 2 3 4 :i 5 1.5 :M 1 :s :pr 2
:V,,,%,% = any,database,blank,append custom text to the y-axis database,message → y-axis → append,no,This append any custom text to the end of every message sent from the bank database.,This can help to simplify and organize database storage.,Look at the text that appears in the symbol atom vs. the text that prints in the console to undestand the effect of :T.,:V brocolli,:V cabbage,:d 3 :v 0 :b ' 1 | 2 | 3 | 4 ' :f 4 :y 1 2 3 4 :i 5 1.5 :M 1 :s :pr 2
